ID	Task	Phase	Owner	Added	Deadline	Status	Why it matters
22	Rebuild the batch cards	This week	Dev ?	2026-08-27	2026-08-31	Not started	Per-batch pricing, seats remaining from the data your checkout already holds, and the holiday skips named inline so the date gaps read as planning, not typos.  (2 hrs)
23	Rename “Reserve →” to “Notify me →” on the three TBA programmes	This week	Dev ?	2026-08-27	2026-08-31	Not started	The button promises a booking and delivers a waitlist. Those three are also your only lead-capture surface — use them properly.  (15 min)
24	Embed one calculator above the batch cards	Next	Dev ?	2026-08-27	2026-09-12	Not started	Your unfair advantage — 0 of 13 tracked competitors has a single interactive game and you have eleven. Pick the sharpest: what last year cost the money in her savings account. Ungated.  (1 day)
25	Add an outcome line to each of the 8 sessions	Next	Copy ?	2026-08-27	2026-09-12	Not started	The topic says what you cover; the outcome says what she can do. “You’ll know whether the policies you already own are protection or a badly sold investment.”  (2 hrs)
26	Film video testimonials at the last September session	Next	HG	2026-08-27	2026-09-12	Not started	In the room, on the last day — everyone’s already there and it’s the emotional peak. One question, 30–45s each, shot vertical so every clip doubles as a Reel. Written consent at filming.  (30 min)
27	Add 3 text testimonials to the page	Next	Copy ?	2026-08-27	2026-09-12	Not started	From the alumni replies to row 7. First name and “Flagship · [month] batch”. Nothing about returns or profit — clarity and first actions only.  (1 hr)
28	Add the 3 new FAQ entries	Next	Copy ?	2026-08-27	2026-09-12	Not started	“I’m not good with numbers, will I keep up?” · “Do I need to already have investments?” · “Will you tell me which funds to buy?” These are the objections that stop the booking.  (1 hr)
29	State the SEBI position on the page	Next	Copy ?	2026-08-27	2026-09-12	Not started	Whatever decision 2 lands on — say it plainly in the founder block.  (15 min)
30	Put a CTA on every Instagram caption	Ongoing	Sakshi	2026-08-27	2026-09-30	Not started	Zero of your twelve captured captions contained a call to action, a price, or a date — and all three workshop mentions were retrospective. A reader who wants in has nowhere to go. Free to fix, starting with the next post.  (ongoing)
31	Keep the batch data current at rollover	Ongoing	Dev ?	2026-08-27	2026-09-30	Not started	Remove past batches when they close. August B1 and B2 are still sitting in the checkout’s BATCH_LABELS.  (10 min)
32	Fix “Next batch — Next batch dates TBA”	Cleanup	Dev ?	2026-08-27	2026-09-30	Not started	Duplicated wording rendering live on the Introductory card — the sync script prefixes text that already contains it.  (15 min)
33	Reconcile the brand tokens	Cleanup	Dev ?	2026-08-27	2026-09-30	Not started	Page is in Poppins, not Nunito + Lora. Teal is #5ec4ba not #2a9d8f. Two different navies in one file — #1a4a5a in the page vars, #1a3a5c in the header nav.  (2 hrs)
34	Replace the three background page fetches with one JSON endpoint	Cleanup	Dev ?	2026-08-27	2026-09-30	Not started	Every visit downloads three full pages (~52 KB) to update three words that all currently say TBA. The architecture is right; the payload isn’t.  (2 hrs)
35	Mobile — compress the batch cards, add a sticky CTA	Cleanup	Dev ?	2026-08-27	2026-09-30	Not started	At 375px the four cards are a long repetitive scroll before anything else, and someone deep in the FAQ has to scroll all the way back up to act.  (3 hrs)
36	Add Course and FAQPage structured data	Cleanup	Dev ?	2026-08-27	2026-09-30	Not started	You’ve already written the FAQ content, so the rich result is nearly free.  (1 hr)
